document,Topic 0 tech companies one world,Topic 1 deepseek china chinese chatgpt,Topic 2 deepseek said model openai,Topic 3 data use trump power,Topic 4 deepseek chinese government app
"What_is_DeepSeek,_the_Chinese_AI_startup_that_shoo",0.28831208,0.1710295,0.3834878,0.124938235,0.032232434
Chinese_AI_disrupter_DeepSeek_claims_top_spot_in_U,0.16607475,0.13421623,0.40888333,0.056186482,0.23463923
Which_countries_have_banned_DeepSeek_and_why?,0.08918558,0.2649385,0.17543286,0.15622634,0.31421667
Global_AI_rivalry_is_a_dangerous_game,0.14103797,0.29764467,0.22687978,0.17836052,0.15607707
DeepSeek_just_blew_up_the_AI_industry’s_narrative_,0.26391798,0.13144147,0.35499883,0.21274231,0.0368994
OpenAI_Says_DeepSeek_May_Have_Improperly_Harvested,0.14003183,0.13889277,0.34483188,0.23621565,0.14002782
They_Invested_Billions._Then_the_A.I._Script_Got_F,0.29084226,0.13545787,0.30593267,0.15463391,0.11313326
"AI_giants_Baidu,_OpenAI_offer_their_chatbots_for_f",0.21500285,0.2309008,0.2148763,0.08102494,0.25819516
DeepSeek_banned_from_Australian_government_devices,0.058000427,0.28787833,0.1418549,0.2769331,0.23533326
DeepSeek_AI_shakes_American_swagger_and_upends_ass,0.23168844,0.18464223,0.31696734,0.16709127,0.099610776
What_Is_AI_Distillation?,0.21689506,0.18243684,0.39395127,0.11591917,0.09079773
What_questions_will_China's_DeepSeek_not_answer?_–,0.026261985,0.14187635,0.05181751,0.05122127,0.7288229
"India_AI:_As_DeepSeek_and_ChatGPT_surge,_is_Delhi_",0.19759467,0.21579619,0.15595704,0.2607447,0.16990747
China’s_AI_disrupter_DeepSeek_bets_on_low-key_team,0.21419549,0.22268826,0.3353727,0.07649172,0.15125182
Australia_bans_DeepSeek_on_government_devices_over,0.066715695,0.2871064,0.199017,0.20722893,0.23993202
The_story_behind_DeepSeek’s_breakthrough,0.23395866,0.19221163,0.3152568,0.13080293,0.12776998
"Microsoft,_OpenAI_investigate_China’s_DeepSeek_ove",0.14675772,0.1732339,0.34886026,0.23834239,0.09280575
South_Korea_bans_new_downloads_of_China's_DeepSeek,0.08100184,0.2822105,0.11634713,0.18413791,0.3363026
US_lawmakers_propose_bill_to_ban_DeepSeek_from_gov,0.15371463,0.38058394,0.10190514,0.1446622,0.21913415
What_will_Washington_do_about_Chinese_startup_Deep,0.079511516,0.119409986,0.17868856,0.45205224,0.17033774
DeepSeek:_Is_China's_AI_tool_as_good_as_it_seems?,0.17980057,0.22022264,0.156055,0.123300955,0.32062083
A_shocking_Chinese_AI_advancement_called_DeepSeek_,0.28634486,0.1693816,0.35466528,0.17018554,0.019422753
Chinese_AI_start-up_DeepSeek_breaks_for_Lunar_New_,0.2464876,0.19142392,0.32648373,0.15674043,0.07886436
China’s_DeepSeek_faces_questions_over_claims_after,0.2169154,0.19738838,0.3896119,0.09087186,0.10521248
Is_DeepSeek_China’s_Sputnik_Moment?,0.26049736,0.250468,0.26044577,0.116700426,0.11188846
"DeepSeek:_cheap,_powerful_Chinese_AI_for_all._What",0.33813402,0.13852052,0.22505516,0.19496796,0.10332236
The_Chinese_AI_companies_that_could_match_DeepSeek,0.18268676,0.18923151,0.33209556,0.07478887,0.22119732
Meta_Engineers_See_Vindication_in_DeepSeek’s_Appar,0.31056634,0.1971589,0.33429995,0.09655315,0.061421648
Was_this_the_week_DeepSeek_started_the_slow_unwind,0.24237564,0.16350079,0.24097873,0.1868278,0.16631705
"As_DeepSeek_upends_the_AI_industry,_one_group_is_u",0.1460786,0.22520317,0.18939388,0.2468688,0.19245555
Meet_DeepSeek:_the_Chinese_start-up_that_is_changi,0.2363441,0.3022378,0.2915082,0.10538232,0.06452754
First_Thing:_Donald_Trump_calls_China’s_DeepSeek_A,0.14179303,0.20519572,0.3182263,0.17692138,0.15786354
DeepSeek_'shared_user_data'_with_TikTok_owner_Byte,0.06410319,0.22121677,0.1120533,0.31088167,0.29174507
Tech_war_in_2024:_China_catches_up_fast_in_AI_race,0.27791914,0.23643813,0.27764562,0.070081286,0.1379158
OpenAI_‘reviewing’_allegations_that_its_AI_models_,0.10942363,0.1172018,0.32468277,0.36888474,0.079807095
DeepSeek_is_decoding_Chinese_destiny,0.36108106,0.11503384,0.05442533,0.124234825,0.34522498
DeepSeek_vs_ChatGPT_-_how_do_they_compare?,0.25425217,0.31274885,0.14351462,0.13080195,0.15868244
"How_ChatGPT,_Gemini_and_DeepSeek_deal_with_Tiananm",0.16431776,0.16157271,0.2126295,0.07454979,0.38693017
Why_DeepSeek_could_mark_a_turning_point_for_Silico,0.34517446,0.120822,0.33247074,0.15315706,0.048375767
Why_DeepSeek_Could_Change_What_Silicon_Valley_Beli,0.26986432,0.14829443,0.35421023,0.07262312,0.15500788
DeepSeek’s_Chatbot_Has_an_Important_Message,0.3273861,0.17594689,0.37659034,0.08159691,0.03847974
"South_Korea_Bans_Downloads_of_DeepSeek,_the_Chines",0.18849903,0.24342349,0.24393442,0.087810606,0.23633242
What_is_DeepSeek_and_why_did_US_tech_stocks_fall?,0.23770575,0.1272018,0.39285624,0.16203743,0.080198795
"Oh,_I’m_sorry,_tech_bros_–_did_DeepSeek_copy_your_",0.35374475,0.11026933,0.17242217,0.2433168,0.12024698
China_celebrates_DeepSeek’s_breakout_AI_success_as,0.25106892,0.24003997,0.26596245,0.08432356,0.15860511
"DeepSeek_breakthrough,_Nvidia_stock_rout_raise_con",0.23946561,0.06722162,0.46450305,0.1288108,0.09999894
‘Sputnik_moment’:_$1tn_wiped_off_US_stocks_after_C,0.19940232,0.17224102,0.3762639,0.20530558,0.046787214
DeepSeek:_What_lies_under_the_bonnet_of_the_new_AI,0.16491581,0.2244031,0.39213747,0.12055259,0.097991005
Who_is_behind_DeepSeek_and_how_did_it_achieve_its_,0.20280409,0.18820097,0.28913963,0.20347191,0.116383426
DeepSeek’s_tech_breakthrough_hailed_in_China_as_an,0.3170422,0.27069467,0.25807688,0.11089192,0.04329431
'DeepSeek_brought_me_to_tears':_How_young_Chinese_,0.19322143,0.20573057,0.057443667,0.087343715,0.45626062
Nvidia_beats_Wall_Street_expectations_in_first_ear,0.11616625,0.098420836,0.39264768,0.3369783,0.055786926
Chinese_start-up_DeepSeek_launches_AI_model_that_o,0.24568452,0.28128338,0.26958087,0.09680293,0.10664825
US_House_panel_probes_whether_DeepSeek_used_restricted_Nvidia_chips,0.10280561,0.2385098,0.292594,0.13813138,0.22795925
DeepSeek:_How_China's_'AI_heroes'_overcame_US_curb,0.29113856,0.20658322,0.24073063,0.08885316,0.17269443
"DeepSeek,_ChatGPT,_Grok_…_which_is_the_best_AI_ass",0.15137088,0.15609387,0.15374282,0.24411851,0.29467392
DeepSeek_focuses_on_research_over_revenue_in_contrast_to_Silicon_Valley,0.32261565,0.12455236,0.2961543,0.10226098,0.15441675
First_Impressions_of_DeepSeek’s_A.I._Chatbot,0.15976958,0.2040433,0.25895804,0.13596138,0.24126768
Analysis:_DeepSeek’s_AI_is_giving_the_world_a_wind,0.18952715,0.17202601,0.11882418,0.10309363,0.41652903
How_Did_DeepSeek_Build_Its_A.I._With_Less_Money?,0.28792357,0.11775124,0.34385952,0.16925967,0.08120596
DeepSeek_hasn’t_just_disrupted_OpenAI._Chinese_tec,0.21148618,0.21339221,0.2885681,0.10293962,0.1836139
World_leaders_set_to_vie_for_AI_domination_at_Pari,0.28705937,0.26048812,0.11875313,0.19053234,0.14316705
White_House_evaluates_effect_of_China_AI_app_DeepS,0.13295865,0.19743063,0.3044927,0.33892575,0.026192263
OpenAI_says_Chinese_rivals_using_its_work_for_thei,0.12925747,0.2005342,0.28736064,0.2362536,0.14659412
DeepSeek_has_ripped_away_AI’s_veil_of_mystique._Th,0.15378408,0.2120997,0.25770068,0.18363479,0.19278075
"DeepSeek_Doesn’t_Scare_OpenAI,_Thanks_to_the_‘Jevo",0.17853512,0.16259448,0.39716917,0.20399004,0.057711136
Here’s_what_the_sellside_is_saying_about_DeepSeek,0.31506294,0.097129405,0.2841104,0.23653904,0.06715825
The_DeepSeek_Wake-Up_Call,0.28926885,0.18330954,0.3037705,0.11672259,0.10692855
Trump’s_commerce_secretary_pick_vows_to_keep_China,0.1723081,0.19654977,0.30291626,0.124753386,0.20347245
How_do_you_solve_a_problem_like_DeepSeek?,0.14023682,0.17527786,0.1284863,0.42496425,0.13103476
"Inside_China,_DeepSeek_Provides_a_National_Mic_Dro",0.1672207,0.32861656,0.23639554,0.100549474,0.1672177
"DeepSeek_advances_could_heighten_safety_risk,_says",0.17840858,0.047324196,0.2612582,0.25022843,0.26278058
UK_will_not_be_able_to_resist_China's_tech_dominan,0.22105548,0.2852973,0.14350057,0.20652613,0.14362058
"What’s_DeepSeek,_China’s_AI_startup_sending_shockw",0.22645198,0.18519358,0.40604675,0.098365285,0.08394243
DeepSeek_blocked_from_some_app_stores_in_Italy_ami,0.05633565,0.12425916,0.2008476,0.38483447,0.23372313
Nvidia_says_AI_chip_sales_strong_despite_DeepSeek_,0.19709821,0.110790074,0.45430735,0.18974106,0.04806331
DeepSeek_spreads_across_China_with_Beijing’s_backi,0.23195384,0.21458066,0.22614391,0.09346166,0.23385994
The_DeepSeek_panic_reveals_an_AI_world_ready_to_bl,0.3057511,0.18701848,0.24435917,0.16348466,0.09938664
Tech_billionaires_lost_almost_$100bn_in_stock_mark,0.22081937,0.18317626,0.25059593,0.31391454,0.031493943
China’s_DeepSeek_Surprise,0.28622547,0.21980788,0.27128568,0.11091537,0.11176559
DeepSeek_chaos_suggests_‘America_First’_may_not_al,0.18848597,0.39322275,0.17262776,0.19709988,0.048563667
DeepSeek:_Cheap_AI_model_shakes_up_tech_industry_–,0.25690612,0.20594995,0.30405167,0.12102763,0.112064555
My_Take_|_Chinese_start-up_DeepSeek_looks_set_to_r,0.22045971,0.2664151,0.34946486,0.113809414,0.049850922
DeepSeek_hit_with_‘large-scale’_cyber-attack_after,0.12723686,0.11123641,0.29301205,0.37884635,0.08966839
Experts_urge_caution_over_use_of_Chinese_AI_DeepSe,0.116446845,0.15116741,0.15541077,0.28578547,0.29118955
DeepSeek:_South_Korea_temporarily_bans_AI_app_–_DW,0.0546302,0.101681806,0.14084783,0.18154232,0.5212978
Tech_war:_China_poised_to_expand_AI_infrastructure,0.23080422,0.24208686,0.27233335,0.155374,0.09940155
DeepSeek_Is_a_Win_for_China_in_the_A.I._Race._Will,0.27756387,0.26314732,0.13382773,0.15033978,0.17512128
"DeepSeek’s_Answers_Include_Chinese_Propaganda,_Res",0.121103466,0.20761487,0.1716983,0.0728665,0.42671686
"DeepSeek's_popularity_should_be_a_wake-up_call,_Tr",0.22964479,0.13982165,0.29280198,0.19004719,0.14768444
Why_is_China's_DeepSeek_sending_AI_stocks_spinning,0.16378616,0.23382965,0.3623934,0.07919284,0.16079794
Nvidia_shares_sink_as_Chinese_AI_app_DeepSeek_spoo,0.18143459,0.13619372,0.3872762,0.22492358,0.070171915
DeepSeek_Serves_as_a_Warning_About_Big_Tech_-_The_,0.27020037,0.16823563,0.32863963,0.18681297,0.046111368
What_DeepSeek?_Big_Tech_Keeps_Its_A.I._Building_Bo,0.3381413,0.09532493,0.27444375,0.22495796,0.06713205
"The_real_hype_behind_DeepSeek,_according_to_AI_exp",0.2573717,0.16946565,0.26417068,0.1462158,0.16277622
China_Challenges_Silicon_Valley_for_A.I._Dominance,0.59759015,0.10397441,0.15077852,0.06509863,0.08255832
What_does_DeepSeek_mean_for_AI's_environmental_imp,0.2401846,0.05856174,0.17700052,0.439245,0.08500817
Who_Is_the_Founder_of_the_A.I._Start-Up_DeepSeek?,0.21024825,0.12343231,0.45592716,0.11788683,0.09250542
and_why_is_everyone_talking_about_it?,0.17695387,0.21606933,0.2990804,0.12221489,0.1856815
Watch_DeepSeek_AI_bot_respond_to_question_about_Ch,0.16462132,0.2483873,0.18515044,0.17261073,0.22923014
DeepSeek_shows_China_only_6_months_behind_US_in_st,0.21779583,0.13826479,0.41479552,0.14098084,0.08816305
DeepSeek_shows_AI's_centre_of_power_could_shift_aw,0.18487816,0.31494105,0.27326763,0.19127159,0.035641585
China’s_DeepSeek_causes_rout_among_AI-linked_stock,0.28433946,0.13158345,0.29970792,0.23653272,0.047836483
Is_Artificial_Intelligence_Really_Worth_the_Hype?,0.29404414,0.13015957,0.26958087,0.19352217,0.112693205
What_to_Know_About_DeepSeek_and_How_It_Is_Upending,0.21992536,0.23265228,0.34088096,0.08767825,0.11886313
South_Korea_removes_DeepSeek_from_app_stores_pendi,0.092562236,0.16651292,0.33119422,0.16448458,0.24524605
What_DeepSeek’s_Success_Says_About_China’s_Ability,0.24557759,0.20152692,0.1213923,0.07442264,0.35708052
"DeepSeek_transferred_data_without_consent,_South_K",0.13808656,0.23397088,0.26320565,0.15915865,0.20557822
"We_tried_out_DeepSeek._It_worked_well,_until_we_as",0.06379035,0.35606238,0.042818353,0.045286577,0.49204233
US_tech_stocks_plunge_on_China_AI’s_unexpectedly_s,0.19282505,0.17484817,0.36274394,0.11934063,0.15024218
US_tech_stocks_partly_recover_after_Trump_says_Dee,0.15620683,0.15838888,0.3892622,0.247931,0.04821113
Diving_into_DeepSeek:_inside_the_7_February_Guardi,0.21242815,0.18381575,0.17773613,0.16020565,0.26581433
Hong_Kong_stocks_gain_on_valuation_focus_as_DeepSe,0.16349232,0.16290022,0.28062102,0.17080677,0.22217968
Nvidia_and_Microsoft_shares_steady_after_DeepSeek_,0.18280561,0.2175507,0.3801287,0.15550247,0.06401255
"Be_careful_with_DeepSeek,_Australia_says_-_so_is_i",0.11735205,0.30110484,0.17674191,0.20611836,0.19868281
